array1,array2,array3
0.00125,1095.5196231290715,284.2507859171152
0.0015,1113.9405803655875,244.53598933950173
0.00175,1087.3423570891944,192.8645027897198
0.002,1041.1697794888696,146.3297330231435
0.00225,991.7542797271872,112.09837488293266
0.0025,941.2732849646443,88.59687274533921
0.00275,887.460337807767,72.78163795753355
0.003,824.3078760685771,61.38602222641308
0.00325,741.183828471143,50.78775839470961
0.0035,622.075120444526,40.6196685892635
0.00375,466.7175652030465,32.159464278402275
0.004,323.63084659928967,25.789354099042193
0.00425,227.80414546579078,21.411586238357025
0.0045,168.94743311727598,18.36179580772279
0.00475,131.46995778033175,16.130293287149907
0.005,106.17203548286247,14.425830874398923
0.00525,88.18120649091372,13.080028708831916
0.0055,74.83585843108425,11.9963070965334
0.00575,64.5983171923146,11.108336441389406
0.006,56.530164395570665,10.363756377496667
0.00625,50.03050253569141,9.73150007207512
0.0065,44.69848205640413,9.189023670345033
0.00675,40.25725881511936,8.719198023431955
0.007,36.509899187873,8.308929977848484
0.00725,33.31272104711829,7.950608428778842
0.0075,30.558575467481457,7.633759761666868
0.00775,28.166020684044852,7.352189082467487
0.008,26.07211107676446,7.100376923515024
0.00825,24.22747287842826,6.874129987912164
0.0085,22.59286622882291,6.670062660253369
0.00875,21.13673707246169,6.48550085302759
0.009,19.833442755521784,6.317840271209211
0.00925,18.661945229616983,6.165160348554744
0.0095,17.60483462498499,6.025772770338655
0.00975,16.647590025655887,5.898223836041052
0.01,15.778013075593323,5.7817920528953595
0.01025,14.985789220251984,5.674842861727015
0.0105,14.262144380102225,5.576276248940917
0.01075,13.599573796731992,5.485293983180262
0.011,12.991626040611502,5.40115643501912
0.01125,12.43272959467086,5.323274761671641
0.0115,11.918052601390968,5.251059582841395
0.01175,11.443388663986926,5.183899504210668
0.012,11.005063281758655,5.121411361671028
0.01225,10.5998567519612,5.063181180444102
0.0125,10.224940307750412,5.009103520268415
0.01275,9.877822969580182,4.958755398044593
0.013,9.556307126648907,4.911873639030874
0.01325,9.258451279187003,4.868224992330102
0.0135,8.982538693088856,4.82745965898604
0.01375,8.727050968673773,4.789763220573406
0.014,8.490645722216227,4.7549987197267924
0.01425,8.272137734970997,4.722889527110295
0.0145,8.070483049238,4.693316628885681
0.01475,7.884765591771015,4.666097789147934
0.015,7.714185987054315,4.6412956388641655
0.01525,7.558052290930798,4.618639159827503
0.0155,7.415772432134325,4.59777073049864
0.01575,7.286848198153653,4.578656540671712
0.016,7.170870644760928,4.561303176897855
0.01625,7.067516847357695,4.545662340495491
0.0165,6.976547948705876,4.53168236850242
0.01675,6.897808493189812,4.519334673513666
0.017,6.8312270740650565,4.508691969687569
0.01725,6.776818358849404,4.499812673830208
0.0175,6.734686600973681,4.492645226931842
0.01775,6.705030795244434,4.487098346716387
0.018,6.68815169330894,4.483221015275299
0.01825,6.68446096662233,4.480986981437864
0.0185,6.694492892914267,4.481001704624295
0.01875,6.718919053827581,4.483335865366744
0.019,6.758566674312128,4.4878079967390265
0.01925,6.814441419489798,4.4943202493091965
0.0195,6.88775570720759,4.503092538584987
0.01975,6.979963915483723,4.514324621296422
0.02,7.092806293293718,4.52810182281956
0.02025,7.228363963072503,4.544675956038689
0.0205,7.3891281951125345,4.564431148065326
0.02075,7.578088227038524,4.587641207520872
0.021,7.7988434278125744,4.615117724652334
0.02125,8.05574776326266,4.647342720020278
0.0215,8.35409761013089,4.684660291872087
0.02175,8.700378453544204,4.728102944845755
0.022,9.102592620132636,4.778487769213125
0.02225,9.570700116563845,4.836925260886913
0.0225,10.117219772229493,4.905050601949601
0.02275,10.758061412343142,4.990071675751106
0.023,11.51369715352438,5.091550971822974
0.02325,12.410840640345254,5.2117176708341875
0.0235,13.484904264189723,5.355442362606825
0.02375,14.783677908443295,5.5289293283139065
0.024,16.37297948038368,5.7406873382122425
0.02425,18.345588538713145,6.002627861274829
0.0245,20.835840080189755,6.332449907251411
0.02475,24.04436569084133,6.755745186024871
0.025,28.281838049337416,7.3117289705856
0.02525,34.05004364258503,8.063675719920559
0.0255,42.199974976332385,9.11764225322354
0.02575,54.255486144119445,10.662542188897007
0.026,73.09203767570031,13.051277404834911
0.02625,104.23066756661994,16.96578507826249
0.0265,156.69850778258058,23.725196067286973
0.02675,233.81039255147763,34.31382387359633
0.027,308.92976747555497,45.961407995082205
0.02725,343.85568156918475,50.96228190812294
0.0275,331.8892280072514,51.80926606008525
0.02775,299.83323162423983,50.74709173283185
0.028,267.84848497230223,40.62800455548915
0.02825,240.2396543695309,37.53946674287516
0.0285,217.84281225461504,38.72274652078561
0.02875,200.6096977782587,33.202173171591575
0.029,187.95388433091412,34.81806846760555
0.02925,179.04096426147126,36.488487066552565
0.0295,172.02541060200747,33.54416910828848
0.02975,166.44957472909022,33.66942837459844
0.03,161.1300914938822,40.09997555242471
0.03025,155.4799917549902,38.00832082600531
0.0305,150.590121863335,42.52263532701633
0.03075,146.91718825310122,39.040322617569295
0.031,142.48697228642231,44.72574363046958
0.03125,138.06195165293127,44.90055713554866
0.0315,134.0985220941817,44.30746386390133
0.03175,130.24056963090058,40.29832110016612
0.032,126.77615898545392,39.501629293613114
0.03225,123.39049948443694,38.66395686822403
0.0325,120.15126317856274,42.93690959639419
0.03275,116.76901213358082,39.02629139484444
0.033,112.51669974061585,38.71038610701986
0.03325,110.06119885498526,33.278948424297326
0.0335,108.01581828893254,37.661664070802146
0.03375,105.03563163313495,42.97183404464727
0.034,101.92064050860921,37.12001444905648
0.03425,98.48499030440573,40.269617466491844
0.0345,95.30787023057152,42.19839475172754
0.03475,93.57163472584236,46.97369359876247
0.035,92.53457462074866,49.86529027719419
0.03525,89.2235167348609,48.76139328060079
0.0355,86.03138502189343,47.058565089046105
0.03575,84.26400661522128,38.51472653941632
0.036,81.60294787805194,42.84122071140716
0.03625,79.55666180437538,38.67096277659639
0.0365,78.16691466531987,38.55587594280562
0.03675,75.61553832663057,39.64288768881065
0.037,73.65685015824585,36.5294582299823
0.03725,72.22753813976524,37.7268991547362
0.0375,70.46012793308158,41.22941652190851
0.03775,68.11834556124816,42.50782820512437
0.038,65.96188992933943,36.90042498652564
0.03825,65.02273711858159,38.04862009867843
0.0385,64.04471602710483,40.017753627846666
0.03875,61.92018527208515,45.09428220484657
0.039,60.00918057564821,52.15305027630284
0.03925,58.3463385423296,49.53550052539677
