array1,array2,array3
0.0,0.0,0.0
0.00025,-4.15495312741026e-18,1.25057348281385e-18
0.0005,-9.59906768724514e-18,2.9039909724604454e-18
0.00075,-1.8087607518951956e-17,5.465959447741581e-18
0.001,-3.0729644545064734e-17,8.993032697666688e-18
0.00125,-4.159853996277197e-17,1.1599619608514686e-17
0.0015,-3.996791052463066e-17,1.1480004854572476e-17
0.00175,-2.8228404673947366e-17,9.243933029417221e-18
0.002,-1.4527317305743086e-17,6.922106422568667e-18
0.00225,-3.3199343304192372e-18,4.106934691823611e-18
0.0025,2.8355881922828837e-18,3.4591949520352804e-18
0.00275,4.182774699746892e-18,1.7665496340442784e-18
0.003,2.7086427438853264e-18,1.3019944260399996e-18
0.00325,7.995813620118813e-20,8.217669306614931e-19
0.0035,-2.8079742410532333e-18,5.76951088970573e-19
0.00375,-5.504031778718295e-18,4.366857004648455e-19
0.004,-7.794827524626819e-18,3.5628246938180326e-19
0.00425,-9.594603667650179e-18,3.0829119976523285e-19
0.0045,-1.0884207157986963e-17,3.356386288668432e-19
0.00475,-1.1676733919981084e-17,4.2817260066625094e-19
0.005,-1.2004281548822312e-17,4.119300571339467e-19
0.00525,-1.1903890589316198e-17,3.6830142828891944e-19
0.0055,-1.1418438007028245e-17,2.5915927600052923e-19
0.00575,-1.0591606797215899e-17,1.9132629521879704e-19
0.006,-9.473543635202277e-18,1.6718170889725e-19
0.00625,-8.121992220362462e-18,1.2327558443482312e-19
0.0065,-6.614997929130156e-18,1.0355369826351734e-19
0.00675,-5.072066448976556e-18,8.713513739831373e-20
0.007,-3.678701116944518e-18,6.859192374547292e-20
0.00725,-2.6300300949128824e-18,6.231581358961024e-20
0.0075,-1.9511172906578707e-18,5.688646452178588e-20
0.00775,-1.5241013449782128e-18,5.299040259921346e-20
0.008,-1.2444834199934464e-18,4.987965350191756e-20
0.00825,-1.0521469369648762e-18,4.738605220417915e-20
0.0085,-9.143031249090757e-19,4.5323333300467254e-20
0.00875,-8.123397559315645e-19,4.359442193123932e-20
0.009,-7.350997727538024e-19,4.216453189172598e-20
0.00925,-6.755489375148345e-19,4.1063919489143265e-20
0.0095,-6.290567490356955e-19,4.014977620046422e-20
0.00975,-5.924624451218224e-19,3.939782093214532e-20
0.01,-5.635416867593615e-19,3.878649464568914e-20
0.01025,-5.406882281894299e-19,3.830052947223472e-20
0.0105,-5.2271640862537945e-19,3.792533963408557e-20
0.01075,-5.087344104237656e-19,3.764901601127033e-20
0.011,-4.980605043126722e-19,3.745726492104495e-20
0.01125,-4.901662589113705e-19,3.734018130901966e-20
0.0115,-4.846371505346925e-19,3.73073819726162e-20
0.01175,-4.811446877974257e-19,3.734573178336485e-20
0.012,-4.794263294067189e-19,3.7497281579082304e-20
0.01225,-4.792707838588867e-19,3.7704934534086353e-20
0.0125,-4.805070941888334e-19,3.795778480113363e-20
0.01275,-4.829964291898962e-19,3.825881955330881e-20
0.013,-4.866258394426762e-19,3.860055257116734e-20
0.01325,-4.913034598185335e-19,3.8973511127494344e-20
0.0135,-4.96954790810244e-19,3.937217782597678e-20
0.01375,-5.035197943907938e-19,3.9794440427036086e-20
0.014,-5.109506120607971e-19,4.023836662102283e-20
0.01425,-5.192097635569559e-19,4.0702619775626994e-20
0.0145,-5.282687210482156e-19,4.1186133104482716e-20
0.01475,-5.381067799823811e-19,4.170023329733668e-20
0.015,-5.487101670541432e-19,4.2231845135628774e-20
0.01525,-5.600713400880681e-19,4.277805591032521e-20
0.0155,-5.72188445380125e-19,4.333794903806196e-20
0.01575,-5.850649062095209e-19,4.391080882742944e-20
0.016,-5.987091225215337e-19,4.449593971170855e-20
0.01625,-6.131342666970196e-19,4.50927179249389e-20
0.0165,-6.283581642331436e-19,4.570060269345999e-20
0.01675,-6.444032513347205e-19,4.6329506092441054e-20
0.017,-6.612966040612405e-19,4.697361385159492e-20
0.01725,-6.790700359489451e-19,4.7626906573761397e-20
0.0175,-6.977602630553477e-19,4.8291627080135464e-20
0.01775,-7.174091372585523e-19,4.897018611498227e-20
0.018,-7.380639504748779e-19,4.9657240810611735e-20
0.01825,-7.597778143175707e-19,5.035405659796809e-20
0.0185,-7.826101216869197e-19,5.10610401399757e-20
0.01875,-8.066270989413871e-19,5.1782251488691814e-20
0.019,-8.319024597426365e-19,5.2510587247724537e-20
0.01925,-8.585181745012355e-19,5.3245987673287675e-20
0.0195,-8.865653727024932e-19,5.3988411363772174e-20
