array1,array2,array3
0.0,-1.5164279528672568,4.896175427243402
0.0005,-1.5181291321732677,4.897975268055995
0.001,-1.5232458468395926,4.903386050225669
0.0015,-1.5318178541935097,4.912441734454529
0.002,-1.5439121803759306,4.9251995323127495
0.0025,-1.5596242910284837,4.941740840915649
0.003,-1.579079781082812,4.962172590551853
0.0035,-1.6024366374609162,4.986632622731956
0.004,-1.6298881483658096,5.015283221656071
0.0045,-1.6616665565252533,5.04831991495885
0.005,-1.698047582638134,5.085975404935986
0.0055,-1.7393559811621324,5.128567566105545
0.006,-1.785972335845188,5.176422438425745
0.0065,-1.8383413602169631,5.229875555388803
0.007,-1.8969820429242963,5.289361539711665
0.0075,-1.9625000752172335,5.355385051660619
0.008,-2.035603126247159,5.428570887086635
0.0085,-2.1171197025796324,5.509679998366463
0.009,-2.2080225576697923,5.599418111245156
0.0095,-2.309457928220109,5.698722894303129
0.01,-2.422782300986214,5.80870080348687
0.0105,-2.5496090050781426,5.930660756012003
0.011,-2.691867754503363,6.066168221706802
0.0115,-2.8518814442555493,6.21717133012369
0.012,-3.0324662000320415,6.385940244432776
0.0125,-3.237063160159431,6.575111813508285
0.013,-3.4699141457015372,6.788028970555261
0.0135,-3.7362989241086817,7.028824394285776
0.014,-4.042860301538132,7.302661259324268
0.0145,-4.398056655266545,7.616149764783698
0.015,-4.812802958972123,7.977635408565334
0.0155,-5.301396558974692,8.397906247025132
0.016,-5.882883313286299,8.89132895687113
0.0165,-6.583122733392418,9.477972123582424
0.017,-7.437995466238147,10.184196123516601
0.0175,-8.498539569347507,11.047363559146932
0.018,-9.839464969526814,12.121210194797213
0.0185,-11.573832441374313,13.488430947213182
0.019,-13.879505348211433,15.274692984149231
0.0195,-17.04921400365532,17.68974763503113
0.02,-21.59032806117062,21.104980642643543
0.0205,-28.43282897907454,26.14624210518941
0.021,-39.36450314841789,34.036689114644496
0.0215,-57.776866404356625,47.13194705737464
0.022,-88.3096344692896,69.18096070667661
0.0225,-127.46346911533932,99.91575567300974
0.023,-152.4113854868043,122.59610435592343
0.0235,-152.85571198840086,126.1823218925828
0.024,-141.9414046758136,134.40656513405537
0.0245,-131.1071094913882,133.99900922484525
0.025,-125.73657208693331,124.28232246140377
0.0255,-123.67967825269798,128.78274497089316
0.026,-121.21411590830215,131.62473838612382
0.0265,-118.08910348743795,128.62067224286588
0.027,-113.74404665412946,126.6383868526587
0.0275,-107.38078922908055,124.1219938920302
0.028,-99.99895033236228,115.24593818613266
0.0285,-91.53545509182356,118.30573274055058
0.029,-82.3858154651529,124.13951854670532
0.0295,-76.1403874725095,128.83368503181265
0.03,-74.87049511287746,128.74884452836702
0.0305,-75.10247245472414,123.47615771451088
0.031,-74.91603925947442,108.93162239990211
0.0315,-74.21849943272711,95.23831942550403
0.032,-72.05609299155934,97.39457378921841
0.0325,-69.67061183130224,95.30547579191904
0.033,-67.70958870003264,101.2257714941974
0.0335,-65.060864231307,100.57177437178892
0.034,-61.15718059798376,96.40876186421754
0.0345,-57.14694161077634,97.01320442317672
0.035,-55.004841255391085,98.21325281182177
0.0355,-55.08720629679687,97.84226413680784
0.036,-55.81601562439902,105.39415709135554
0.0365,-55.63086356559381,100.50985473986817
0.037,-54.263361265818716,97.87172036185945
0.0375,-53.22523579318407,96.19860254417463
0.038,-53.53857370933706,80.74018899583129
0.0385,-54.60442530358724,76.00208992632213
0.039,-55.22087497184076,78.3996144406308
0.0395,-55.665848761771656,78.52092811528816
0.04,-55.10074845381559,79.359628132269
