array1,array2,array3
0.0,0.0,0.0
0.00025,6.772323978965092e-20,2.2765769232019193e-21
0.0005,1.355507637181407e-19,4.554102216087811e-21
0.00075,2.0358732712082977e-19,6.833527472916804e-21
0.001,2.719386321226022e-19,9.115810772052004e-21
0.00125,3.4071181209434326e-19,1.1401920006058484e-20
0.0015,4.100159295826537e-19,1.3692836319352777e-20
0.00175,4.799624925411352e-19,1.5989557692462298e-20
0.002,5.506659939913962e-19,1.8293102714824123e-20
0.00225,6.222444806306463e-19,2.0604514591801192e-20
0.0025,6.948201563902472e-19,2.2924865436316864e-20
0.00275,7.685200275487874e-19,2.5255260901366912e-20
0.003,8.434765967299999e-19,2.759685052862991e-20
0.00325,9.198286139901642e-19,2.9950821524399763e-20
0.0035,9.97721894245948e-19,3.231841057108955e-20
0.00375,1.0773102115423068e-18,3.4700913316697756e-20
0.004,1.1587562821480877e-18,3.7099689876692175e-20
0.00425,1.2422328502400622e-18,3.951617363467878e-20
0.0045,1.3279238920507847e-18,4.1951879205588414e-20
0.00475,1.4160259568810654e-18,4.4408415098792037e-20
0.005,1.5067496664005679e-18,4.688749410532763e-20
0.00525,1.600321397286782e-18,4.939094925487396e-20
0.0055,1.6969851766173155e-18,5.192074641335173e-20
0.00575,1.7970048247002175e-18,5.447900904288286e-20
0.006,1.900666386412985e-18,5.706802572043417e-20
0.00625,2.0082808998892247e-18,5.969028705941607e-20
0.0065,2.120187560881723e-18,6.234851043573093e-20
0.00675,2.2367573527749912e-18,6.504567439785331e-20
0.007,2.358397226575562e-18,6.778504887645564e-20
0.00725,2.4855549329946706e-18,7.057025075423305e-20
0.0075,2.618724630891358e-18,7.340529536037397e-20
0.00775,2.758453424091506e-18,7.629465408697678e-20
0.008,2.9053490135571214e-18,7.924334116606154e-20
0.00825,3.0600886961997503e-18,8.225700853931448e-20
0.0085,3.2234299981891826e-18,8.534210909912307e-20
0.00875,3.3962233032876973e-18,8.850586331315842e-20
0.009,3.5794269308285115e-18,9.175697770421866e-20
0.00925,3.774125240720678e-18,9.510475981192706e-20
0.0095,3.981550504380524e-18,9.856023029109231e-20
0.00975,4.203109494892757e-18,1.0213625649660276e-19
0.01,4.440416037015574e-18,1.0584796693233941e-19
0.01025,4.6953311465787335e-18,1.0971369291031447e-19
0.0105,4.9700129210705225e-18,1.1375435060222531e-19
0.01075,5.2669790801185956e-18,1.179950846644577e-19
0.011,5.589186087725166e-18,1.2246644108299055e-19
0.01125,5.940130256373443e-18,1.2720655548927244e-19
0.0115,6.323978350547644e-18,1.322631858763227e-19
0.01175,6.745738309835926e-18,1.3769114936245185e-19
0.012,7.211485337538419e-18,1.4356263541193191e-19
0.01225,7.728665629226992e-18,1.4996770101660555e-19
0.0125,8.3065109192558e-18,1.5702216262159598e-19
0.01275,8.956614329283687e-18,1.6487674027522727e-19
0.013,9.693746172978956e-18,1.7373011129207755e-19
0.01325,1.0537035525254771e-17,1.8389449218130026e-19
0.0135,1.1511724786007758e-17,1.9586552284174727e-19
0.01375,1.2651850003210143e-17,2.1005562128023362e-19
0.014,1.4004470039635338e-17,2.272014016033761e-19
0.01425,1.5636591524698424e-17,2.4837014285179634e-19
0.0145,1.7646999485019927e-17,2.770904677041773e-19
0.01475,2.018746477685313e-17,3.1831374608434185e-19
0.015,2.3502811419491307e-17,3.7957157137959294e-19
0.01525,2.801054181042772e-17,4.762485447204388e-19
0.0155,3.446275128875481e-17,6.422769918342184e-19
0.01575,4.4239483942444256e-17,9.403570227828819e-19
0.016,5.949642838833562e-17,1.436152670877693e-18
0.01625,8.14601437018501e-17,3.7322671890952535e-18
0.0165,1.0698782770766083e-16,5.28887515580539e-18
0.01675,1.3114577351646107e-16,7.879063946054466e-18
0.017,1.5299012940054206e-16,1.0345648140911063e-17
0.01725,1.7065636383079268e-16,1.626071640030913e-17
0.0175,1.8656638715170704e-16,1.3831933716807885e-17
0.01775,2.0105691663811165e-16,2.6917061584496244e-17
0.018,2.1526599661285196e-16,1.816493960960045e-17
0.01825,2.2567594258144756e-16,3.205819626385567e-17
0.0185,2.3646332792675604e-16,3.040535480554705e-17
0.01875,2.4693154535391265e-16,4.5499212214014114e-17
0.019,2.5536277959334917e-16,3.246429254724031e-17
0.01925,2.6325654115896604e-16,4.4482999728036505e-17
0.0195,2.716869604379762e-16,4.7143157071897074e-17
0.01975,2.768458876489913e-16,5.449486535119689e-17
0.02,2.8307641860460703e-16,3.957629110182134e-17
0.02025,2.908376942014174e-16,4.443941683325843e-17
