array1,array2,array3
0.0,0.0,0.0
0.00025,1.8957494038128043e-21,8.748090288819432e-22
0.0005,3.801766954401403e-21,1.7496572939976405e-21
0.00075,5.7283483553412825e-21,2.624584062119614e-21
0.001,7.685844559136616e-21,3.499628661403595e-21
0.00125,9.684689731124311e-21,4.374830512848248e-21
0.0015,1.1735429623830981e-20,5.2502291626825666e-21
0.00175,1.3848750503862332e-20,6.1258643160104214e-21
0.002,1.6035508777985088e-20,7.001775872048725e-21
0.00225,1.830676147091831e-20,7.878003961312727e-21
0.0025,2.0673797714517323e-20,8.754588985130442e-21
0.00275,2.314817141664056e-20,9.631571657881619e-21
0.003,2.574173528811823e-20,1.0508993052398785e-20
0.00325,2.8466676418050185e-20,1.1386894648992849e-20
0.0035,3.133555360128512e-20,1.2265318388610701e-20
0.00375,3.436133663758042e-20,1.3144306730679634e-20
0.004,3.7557447839811315e-20,1.4023902716245247e-20
0.00425,4.0937806008949454e-20,1.4904150037061968e-20
0.0045,4.451687315665103e-20,1.578509311138771e-20
0.00475,4.83097042825322e-20,1.6666777167282444e-20
0.005,5.233200054293273e-20,1.7549248334329116e-20
0.00525,5.660016618166594e-20,1.843255374477269e-20
0.0055,6.113136963140624e-20,1.9316741645212092e-20
0.00575,6.59436092376333e-20,2.0201861520093484e-20
0.006,7.105578410608409e-20,2.1087964228416458e-20
0.00625,7.648777063034562e-20,2.1975102155230904e-20
0.0065,8.226050531945291e-20,2.2863329379696877e-20
0.00675,8.839607461729255e-20,2.375270186171303e-20
0.007,9.491781248753102e-20,2.4643277649357324e-20
0.00725,1.0185040663124798e-19,2.5535117109699003e-20
0.0075,1.0922001431119472e-19,2.6428283185852634e-20
0.00775,1.1705438887879335e-19,2.732284168355831e-20
0.008,1.2538301824004887e-19,2.821886159097951e-20
0.00825,1.342372766574569e-19,2.911641543596456e-20
0.0085,1.4365059147018457e-19,3.0015579685565824e-20
0.00875,1.536586265284086e-19,3.091643519332331e-20
0.009,1.6429948438462582e-19,3.181906934047738e-20
0.00925,1.756139295708468e-19,3.2723572249488733e-20
0.0095,1.8764563562283274e-19,3.3630040859278543e-20
0.00975,2.0044145889939525e-19,3.453857925403599e-20
0.01,2.1405174269629476e-19,3.544952891162202e-20
0.01025,2.28530655682773e-19,3.6363251874820276e-20
0.0105,2.439365693089593e-19,3.7279478633570375e-20
0.01075,2.6033247956244175e-19,3.8198349892396695e-20
0.011,2.7778647931409493e-19,3.9120021073288384e-20
