array1,array2,array3
0.0,0.0,0.0
0.00025,4.465122134538675e-21,7.7752901156126475e-22
0.0005,8.942950755090782e-21,1.5550497029750183e-21
0.00075,1.3446226112751316e-20,2.3325537257684484e-21
0.001,1.798775615462351e-20,3.110032674950221e-21
0.00125,2.258045078779385e-20,3.887478061083501e-21
0.0015,2.7237356646277705e-20,4.664881282764126e-21
0.00175,3.1971692534996053e-20,5.442233599647691e-21
0.002,3.6796885730419607e-20,6.219526106182332e-21
0.00225,4.172660932463934e-20,6.996749706207732e-21
0.0025,4.677482080834151e-20,7.773895088604515e-21
0.00275,5.195580209862457e-20,8.550952704185724e-21
0.003,5.72842012299057e-20,9.327912744047348e-21
0.00325,6.277507594050488e-20,1.0104765119619657e-20
0.0035,6.844393940403206e-20,1.0881499444678598e-20
0.00375,7.430680837368824e-20,1.165810501962075e-20
0.004,8.038025402924169e-20,1.243457081833122e-20
0.00425,8.668145584110587e-20,1.3210885478017759e-20
0.0045,9.322825879391337e-20,1.3987037292436316e-20
0.00475,1.0003923434371833e-19,1.476301420897537e-20
0.005,1.0713374551885538e-19,1.5538803830142433e-20
0.00525,1.145320166151553e-19,1.6314393420052988e-20
0.0055,1.2225520798220668e-19,1.70897699166118e-20
0.00575,1.303254964494464e-19,1.786491995015924e-20
0.006,1.3876616199982398e-19,1.863983306210011e-20
0.00625,1.4760168136565732e-19,1.9414493602641458e-20
0.0065,1.5685782929711862e-19,2.0188886655490564e-20
0.00675,1.665617883399265e-19,2.096299801213393e-20
0.007,1.767422680567673e-19,2.1736813384725438e-20
0.00725,1.8742963473849326e-19,2.2510318487103665e-20
0.0075,1.9865605277833813e-19,2.3283499131676425e-20
0.00775,2.1045563902768664e-19,2.4056341344352634e-20
0.008,2.2286463161816437e-19,2.482883150002337e-20
0.00825,2.359215749253903e-19,2.5600956481457755e-20
0.0085,2.496675225685941e-19,2.63727038648899e-20
0.00875,2.6414626059215185e-19,2.714406213607078e-20
0.009,2.794045532655388e-19,2.7915020941108266e-20
0.00925,2.9549241427382497e-19,2.868557137709249e-20
0.0095,3.1246340645961405e-19,2.94557063282446e-20
0.00975,3.303749737286463e-19,3.022542085424559e-20
0.01,3.4928880925655454e-19,3.0994712638426606e-20
0.01025,3.6927126474707767e-19,3.176358250474576e-20
0.0105,3.9039380620891334e-19,3.253203501390693e-20
0.01075,4.1273352255920345e-19,3.330007915069095e-20
0.011,4.363736943506923e-19,3.406772911657555e-20
0.01125,4.614044310863095e-19,3.483500635267299e-20
0.0115,4.879233869654646e-19,3.5601937514415256e-20
0.01175,5.160365665450133e-19,3.636855841357868e-20
0.012,5.458592337492778e-19,3.713492336160178e-20
0.01225,5.775169399953464e-19,3.7901086831534326e-20
0.0125,6.111466899960557e-19,3.86671150958044e-20
0.01275,6.468982671685863e-19,3.9433094893097434e-20
0.013,6.84935744642771e-19,4.01991299666843e-20
0.01325,7.254392127957839e-19,4.096534570181952e-20
0.0135,7.68606760248395e-19,4.1731921935620876e-20
0.01375,8.146567526091721e-19,4.249902393172565e-20
0.014,8.638304622881314e-19,4.326684924124739e-20
0.01425,9.163951138592224e-19,4.403565818115178e-20
0.0145,9.726474232997104e-19,4.4805737265970593e-20
0.01475,1.0329177267132867e-18,4.5577435981842133e-20
0.015,1.0975748158216303e-18,4.6351166734824216e-20
0.01525,1.1670316248643398e-18,4.7127528990495737e-20
0.0155,1.2417519482782336e-18,4.790738493106197e-20
0.01575,1.322258412907841e-18,4.869109633060235e-20
0.016,1.4091419855979093e-18,4.947947585552006e-20
0.01625,1.5030733710114615e-18,5.027348412555065e-20
0.0165,1.6048167511358188e-18,5.1074258539916265e-20
0.01675,1.715246445128368e-18,5.1883148824206054e-20
0.017,1.8353672370338135e-18,5.2701788591732934e-20
0.01725,1.966339345206288e-18,5.353208655965497e-20
0.0175,2.1095093135006258e-18,5.437632131348121e-20
0.01775,2.2664485230505368e-18,5.523724540176703e-20
0.018,2.439001602541308e-18,5.611821675015386e-20
0.01825,2.629347825428973e-18,5.702323221659629e-20
0.0185,2.840079731928478e-18,5.795721295049316e-20
0.01875,3.07430486651576e-18,5.892617862835123e-20
0.019,3.335778935306944e-18,5.993751526243446e-20
0.01925,3.6290822710182574e-18,6.100043882786859e-20
0.0195,3.9598569103273716e-18,6.21265013479302e-20
0.01975,4.335129941715695e-18,6.333098981356718e-20
0.02,4.763761946347381e-18,6.463887379562014e-20
0.02025,5.2570806058652905e-18,6.606974054943957e-20
0.0205,5.829794781578233e-18,6.765851862139686e-20
0.02075,6.5013445260551036e-18,6.944619545226792e-20
0.021,7.297948639736202e-18,7.153323913397637e-20
0.02125,8.255805685382183e-18,7.411753870243606e-20
0.0215,9.426274766422263e-18,7.73923067927396e-20
0.02175,1.0884600571935131e-17,8.183295413268615e-20
0.022,1.2745289188054071e-17,8.823893441870327e-20
0.02225,1.5190608952889655e-17,9.834622875794389e-20
0.0225,1.8526238165511978e-17,1.1580145086504578e-19
0.02275,2.3294089882865294e-17,1.4698439174689994e-19
0.023,3.049200733307056e-17,1.8807050707952982e-19
0.02325,4.1841707053472847e-17,2.4584351099987167e-19
0.0235,5.917425995054832e-17,7.458139465982215e-19
0.02375,8.156305654675074e-17,2.0985850536578656e-18
0.024,1.0468335408579746e-16,3.574803507102801e-18
0.02425,1.2511086478228742e-16,3.84311761670486e-18
0.0245,1.425149839631634e-16,6.445412130601921e-18
0.02475,1.5690593335555938e-16,6.092134214210148e-18
0.025,1.6770970880947081e-16,1.3100646789389752e-17
0.02525,1.7683815581541723e-16,1.0876878461642478e-17
0.0255,1.8263570379910598e-16,2.13235481173738e-17
0.02575,1.8416384353741137e-16,1.0085150957395079e-17
0.026,1.803019423652448e-16,2.221269027322501e-17
0.02625,1.7293293575465025e-16,1.8190365147969917e-17
0.0265,1.6500779239252487e-16,2.3303032310904704e-17
0.02675,1.581521732547672e-16,2.2885601516189342e-17
0.027,1.5310344470584805e-16,2.5476658130668928e-17
0.02725,1.4982373773783013e-16,3.430335631899833e-17
0.0275,1.472908480324291e-16,3.305324775440684e-17
0.02775,1.445868616238482e-16,3.8662014840345273e-17
0.028,1.4520986619553946e-16,4.668955959322013e-17
0.02825,1.4491169566517413e-16,3.7117620651902495e-17
0.0285,1.4284622419225266e-16,4.7895669293620655e-17
0.02875,1.4334318980997297e-16,4.099002659894854e-17
0.029,1.4339029987024929e-16,5.561906638949016e-17
0.02925,1.4258463630103868e-16,4.811147173415277e-17
0.0295,1.4253661404512846e-16,6.189012157187184e-17
0.02975,1.440357447142396e-16,5.4415684759717257e-17
0.03,1.4332181429810711e-16,6.917101367939241e-17
0.03025,1.4175589164672447e-16,5.939701838647957e-17
0.0305,1.4295134227661721e-16,7.478716166391366e-17
0.03075,1.4252131898522018e-16,6.337666927869029e-17
0.031,1.4294121527979345e-16,7.987247080774457e-17
0.03125,1.4341287728701458e-16,5.2057513575480246e-17
0.0315,1.4226698446311625e-16,7.695738396441806e-17
0.03175,1.4133931161144085e-16,6.863762127204307e-17
0.032,1.4304213787775175e-16,8.439914912736112e-17
0.03225,1.4278995605311423e-16,7.676727241335481e-17
0.0325,1.4108186573916264e-16,9.254828090387886e-17
0.03275,1.418708124357369e-16,8.162461957711604e-17
0.033,1.4062865230204514e-16,8.332083664369775e-17
0.03325,1.4123679115903508e-16,9.264751586959995e-17
0.0335,1.40641640078025e-16,7.752515904718533e-17
0.03375,1.3920251860628598e-16,9.746789231269605e-17
0.034,1.3988395464140355e-16,9.740857865355687e-17
0.03425,1.3840582703384087e-16,9.347507930368996e-17
0.0345,1.3894071442758627e-16,9.97889652351306e-17
0.03475,1.3857929202999683e-16,8.114200488737309e-17
0.035,1.3565030728154656e-16,8.516236032165993e-17
0.03525,1.3484508713600199e-16,8.79487930058973e-17
0.0355,1.3408927093146054e-16,9.564279909645315e-17
0.03575,1.3376914876075036e-16,1.0032120474579733e-16
0.036,1.3374123522186482e-16,1.04835024964827e-16
0.03625,1.3172405774406682e-16,9.559401542675252e-17
0.0365,1.305275953454559e-16,9.382180560475196e-17
0.03675,1.2782827948022178e-16,7.873912692885098e-17
0.037,1.2711297355864322e-16,9.058591962887413e-17
0.03725,1.2703070152535406e-16,9.783439228125474e-17
0.0375,1.2443388643212044e-16,9.880946093336072e-17
0.03775,1.2313156340164825e-16,9.59990232257412e-17
0.038,1.218980349703688e-16,1.0232788097679128e-16
0.03825,1.1837033182234378e-16,9.326949565691496e-17
0.0385,1.176294206958038e-16,9.728938039426929e-17
0.03875,1.1640745868197942e-16,9.531582991143782e-17
0.039,1.1393743711582824e-16,1.1890625227129976e-16
0.03925,1.1286377062002494e-16,1.0858607500049444e-16
0.0395,1.1141987791392007e-16,1.2121964932288693e-16
0.03975,1.0849741009209719e-16,1.2743031175241715e-16
0.04,1.0550078959546706e-16,1.214286543761705e-16
