array1,array2,array3
0.0,0.0,0.0
0.00025,3.2635770710880352e-21,8.065763618884189e-22
0.0005,6.538788687516002e-21,1.6131544270719458e-21
0.00075,9.837300628037456e-21,2.419735879767969e-21
0.001,1.3170841292704234e-20,3.226322366202814e-21
0.00125,1.6551233400970278e-20,4.032915476027235e-21
0.0015,1.9990426158320944e-20,4.839516724233665e-21
0.00175,2.3500528053626808e-20,5.646127533752363e-21
0.002,2.7093840454668876e-20,6.452749218914448e-21
0.00225,3.0782892175984996e-20,7.25938296998349e-21
0.0025,3.458047520139572e-20,8.066029838973374e-21
0.00275,3.849968175341957e-20,8.872690726983234e-21
0.003,4.2553942913385635e-20,9.67936637331396e-21
0.00325,4.675706900956613e-20,1.0486088641022398e-20
0.0035,5.1123292006250654e-20,1.1292853425876218e-20
0.00375,5.56673101445913e-20,1.2099646735945616e-20
0.004,6.040433510649399e-20,1.290646958051459e-20
0.00425,6.53501419961244e-20,1.3713322807567196e-20
0.0045,7.052112246004316e-20,1.452020711210551e-20
0.00475,7.593434129699807e-20,1.5327123049094633e-20
0.005,8.160759694239725e-20,1.6134071144877005e-20
0.00525,8.755948625100672e-20,1.6941051708601343e-20
0.0055,9.380947404504374e-20,1.774806496670714e-20
0.00575,1.003779679442671e-19,1.8555111161105344e-20
0.006,1.0728639905069531e-19,1.93621905525478e-20
0.00625,1.1455730912417004e-19,2.0169303477518736e-20
0.0065,1.2221444495716915e-19,2.09764504161786e-20
0.00675,1.3028286073937093e-19,2.1783632072837898e-20
0.007,1.38789029295912e-19,2.2590849470610624e-20
0.00725,1.4776096318983985e-19,2.3398104062152438e-20
0.0075,1.572283468008999e-19,2.4205401961924234e-20
0.00775,1.672226806319589e-19,2.50127541609286e-20
0.008,1.7777743925378664e-19,2.582015419033155e-20
0.00825,1.8892824448193727e-19,2.6627945373381017e-20
0.0085,2.0071305558997516e-19,2.7435880535466416e-20
0.00875,2.1317237860588612e-19,2.824392699233276e-20
0.009,2.263494970187352e-19,2.9052097601222655e-20
0.00925,2.4029072654699414e-19,2.986040694256042e-20
0.0095,2.550456969963061e-19,3.0668872226558385e-20
0.00975,2.7066766467216346e-19,3.1477514282885274e-20
0.01,2.872138593233257e-19,3.228635777920574e-20
0.01025,3.0474587018840184e-19,3.309543184359531e-20
0.0105,3.2333007641729017e-19,3.390477077748727e-20
0.01075,3.4303812796112586e-19,3.471441487273942e-20
0.011,3.6394748399330866e-19,3.552441134862344e-20
0.01125,3.861420170697715e-19,3.6334816311390374e-20
0.0115,4.097126925954747e-19,3.714569380472038e-20
0.01175,4.347583347808986e-19,3.795711858967648e-20
0.012,4.613864922027114e-19,3.87691780859567e-20
0.01225,4.89714418395661e-19,3.958197389542611e-20
0.0125,5.198701856839625e-19,4.0395623980990194e-20
0.01275,5.519939538176604e-19,4.121027113320791e-20
0.013,5.862394190480102e-19,4.202606924205768e-20
0.01325,6.227754742269348e-19,4.284320150499752e-20
0.0135,6.617881165665616e-19,4.3661886579198775e-20
0.01375,7.034826471235954e-19,4.448237599898755e-20
0.014,7.480862152364563e-19,4.5304964026907235e-20
0.01425,7.958507725019115e-19,4.6129967152404033e-20
0.0145,8.470565150312155e-19,4.6957770311852305e-20
0.01475,9.02015910457343e-19,4.778883800532863e-20
0.015,9.61078428506349e-19,4.8623672360833866e-20
0.01525,1.0246361222652396e-18,4.9462876304594066e-20
0.0155,1.093130243403193e-18,5.0307151743187514e-20
0.01575,1.1670591209916886e-18,5.1157727399622455e-20
0.016,1.2469875935597403e-18,5.2015898266466005e-20
0.01625,1.333558362181272e-18,5.2882125297384803e-20
0.0165,1.4275057350327947e-18,5.375772610141101e-20
0.01675,1.5296723697828122e-18,5.464425961317855e-20
0.017,1.6410298017815105e-18,5.554354271240524e-20
0.01725,1.7627037909791885e-18,5.645773325097442e-20
