array1,array2,array3
0.0,0.0,0.0
0.00025,5.520141306627916e-21,7.498549134779208e-22
0.0005,1.1053822515812402e-20,1.4996924610783819e-21
0.00075,1.661461897126709e-20,2.2494952406987136e-21
0.001,2.2216177070888997e-20,2.999245777891726e-21
0.00125,2.7872250224910633e-20,3.748926489965778e-21
0.0015,3.359673533521203e-20,4.498519650413196e-21
0.00175,3.9403709976051645e-20,5.248007353788845e-21
0.002,4.530747046216961e-20,5.997371481165684e-21
0.00225,5.132257099748518e-20,6.7465936663040004e-21
0.0025,5.746386410650918e-20,7.495655262683422e-21
0.00275,6.374654256125492e-20,8.244537311565447e-21
0.003,7.018618302898859e-20,8.993220511265334e-21
0.00325,7.679879168076393e-20,9.741685187839844e-21
0.0035,8.360085201753238e-20,1.0489911267418055e-20
0.00375,9.060937518993684e-20,1.1237878250430263e-20
0.004,9.784195310991732e-20,1.1985565188024697e-20
0.00425,1.0531681467732313e-19,1.2732950660995568e-20
0.0045,1.1305288547312176e-19,1.348001276159218e-20
0.00475,1.210698513029977e-19,1.4226729078621528e-20
0.005,1.293882260115199e-19,1.497307668631932e-20
0.00525,1.3802942402824165e-19,1.5719032137520286e-20
0.0055,1.4701583815363e-19,1.646457146173487e-20
0.00575,1.5637092314535982e-19,1.720967016881943e-20
0.006,1.6611928572504566e-19,1.7954303259022045e-20
0.00625,1.7628678169290546e-19,1.8698445240290587e-20
0.0065,1.8690062091422617e-19,1.9442070153854717e-20
0.00675,1.9798948102815947e-19,2.0185151609230326e-20
0.007,2.0958363082776577e-19,2.0927662829959907e-20
0.00725,2.217150643721523e-19,2.166957680864874e-20
0.0075,2.3441764701897895e-19,2.241086786053946e-20
0.00775,2.47727274711002e-19,2.3151507162243873e-20
0.008,2.616820480164117e-19,2.3891466894176586e-20
0.00825,2.763224626128531e-19,2.463071954170877e-20
0.0085,2.916916181230084e-19,2.536923780496625e-20
0.00875,3.078354474601042e-19,2.6106994775911774e-20
0.009,3.2480296913005545e-19,2.684396689854889e-20
0.00925,3.426465652696277e-19,2.758012978921664e-20
0.0095,3.614222885846232e-19,2.8315455902511e-20
0.00975,3.811902017978467e-19,2.904992238629881e-20
0.01,4.0201475373433e-19,2.978350822846059e-20
0.01025,4.2396519677421864e-19,3.0516194700565585e-20
0.0105,4.471160511075363e-19,3.124796587162832e-20
0.01075,4.715476220488856e-19,3.1978809202587856e-20
0.011,4.973465776370861e-19,3.270871623389876e-20
0.01125,5.246065948829172e-19,3.343768461137368e-20
0.0115,5.534290843717957e-19,3.4165720569502017e-20
0.01175,5.839240045193262e-19,3.489283526981067e-20
0.012,6.162107786678784e-19,3.561914286546837e-20
0.01225,6.504193304652565e-19,3.6344619510853516e-20
0.0125,6.866912556611393e-19,3.706927664801557e-20
0.01275,7.251811516913309e-19,3.7793176982778476e-20
0.013,7.660581303168071e-19,3.8516385688777906e-20
0.01325,8.095075432980591e-19,3.9239004622999246e-20
0.0135,8.5573295680979675e-19,3.996113565289862e-20
0.01375,9.049584172831316e-19,4.0682915875999056e-20
0.014,9.574310599162821e-19,4.1404513367239465e-20
0.01425,1.0134241216232704e-18,4.212614701945761e-20
0.0145,1.0732404332124774e-18,4.284805991449675e-20
0.01475,1.1372164817766152e-18,4.3570535145484416e-20
0.015,1.2057271545116781e-18,4.429392456856658e-20
