array1,array2,array3
0.0,0.0,0.0
0.00025,-8.563001873879997e-21,8.978564234752795e-22
0.0005,-1.7130391506338483e-20,1.7957975901031843e-21
0.00075,-2.5706585796364733e-20,2.6939083509965648e-21
0.001,-3.4296060215349947e-20,3.5922737740571235e-21
0.00125,-4.2903378826388887e-20,4.490979254550697e-21
0.0015,-5.1533225195015073e-20,5.3901106283317954e-21
0.00175,-6.019043450827814e-20,6.2897542886495466e-21
0.002,-6.88800272365307e-20,7.189997307517714e-21
0.00225,-7.760724469474672e-20,8.090927562685627e-21
0.0025,-8.637758688814122e-20,8.992633871322034e-21
0.00275,-9.519685306083763e-20,9.895206131608504e-21
0.003,-1.04071185407092e-19,1.079873547355015e-20
0.00325,-1.1300711645296017e-19,1.1703314420428278e-20
0.0035,-1.2201162067336777e-19,1.2609037062466617e-20
0.00375,-1.310921709765575e-19,1.3515999244460398e-20
0.004,-1.4025680076635983e-19,1.442429876929923e-20
0.00425,-1.4951417238447814e-19,1.5334035619562912e-20
0.0045,-1.5887365284216228e-19,1.6245312199621297e-20
0.00475,-1.6834539787584372e-19,1.7158233600983384e-20
0.005,-1.7794044550766027e-19,1.80729078940054e-20
0.00525,-1.876708204629915e-19,1.8989446449474843e-20
0.0055,-1.9754965099767257e-19,1.9907964294075545e-20
0.00575,-2.075912999228344e-19,2.082858050431507e-20
0.006,-2.1781151189184374e-19,2.175141864412993e-20
0.00625,-2.2822757933947054e-19,2.267660725218202e-20
0.0065,-2.3885852984779233e-19,2.360428038574025e-20
0.00675,-2.4972533816806387e-19,2.4534578229118435e-20
0.007,-2.60851166667116e-19,2.5467647775870055e-20
0.00725,-2.722616386082119e-19,2.6403643595427375e-20
0.0075,-2.839851494411417e-19,2.7342735728623895e-20
0.00775,-2.9605322219112877e-19,2.8285108458154706e-20
0.008,-3.085009141336465e-19,2.9230932577952423e-20
0.00825,-3.2136728326319654e-19,3.018042509651791e-20
0.0085,-3.3469592465943227e-19,3.113377330772453e-20
0.00875,-3.485355887873769e-19,3.209120080292811e-20
