array1,array2,array3
0.0,0.0,0.0
0.001,6.730478501208993e-20,1.1556551211993199e-20
0.002,1.3543758840123067e-19,2.315623759989392e-20
0.003,2.0525617181943853e-19,3.484266308331385e-20
0.004,2.776800055999675e-19,4.666042568619367e-20
0.005,3.5372696732418723e-19,5.865602417787424e-20
0.006,4.345579211303715e-19,7.08774597820525e-20
0.007,5.215334445081416e-19,8.33754862513808e-20
0.008,6.162888243510049e-19,9.620435079742388e-20
0.009,7.208364916731182e-19,1.094229560483008e-19
0.01,8.377101337269647e-19,1.2309505675576347e-19
0.011,9.7017335657133e-19,1.3729154491233657e-19
0.012,1.1225309459146395e-18,1.520922735797953e-19
0.013,1.3006084764345954e-18,1.675888933342418e-19
0.014,1.5125189174882957e-18,1.8388938684744499e-19
0.015,1.769941407323697e-18,2.011259128390415e-19
0.016,2.0903659520396055e-18,2.1947694446702486e-19
0.017,2.501287663114779e-18,2.3917599949046496e-19
0.018,3.048686033911054e-18,2.6059117803909323e-19
0.019,3.8160255571629545e-18,2.843740043273786e-19
0.02,4.973284410025587e-18,3.1193268817218964e-19
0.021,6.932604904375341e-18,3.4738366073470397e-19
0.022,1.1042024943022557e-17,4.1968273322356314e-19
0.023,2.5148780900464672e-17,7.770780452274741e-19
0.024,6.947257053993378e-17,7.514968107010593e-18
0.025,1.0275814102776857e-16,9.815600523446693e-18
0.026,1.2348138195557764e-16,2.340583692822935e-17
0.027,1.3838308494540186e-16,2.7978988004724286e-17
0.028,1.4995096079339055e-16,3.495027541174461e-17
0.029,1.580365500452372e-16,3.505844611579344e-17
0.03,1.6000997589764987e-16,5.2032009261769956e-17
0.031,1.5647268804312007e-16,6.026501593294529e-17
0.032,1.5461947026839107e-16,6.945291501451698e-17
0.033,1.5528017380841352e-16,7.485075606991272e-17
0.034,1.5449424444714438e-16,9.174015290297205e-17
0.035,1.5332575676794205e-16,9.25756471036779e-17
0.036,1.5171270042095305e-16,9.711681635181602e-17
0.037,1.4887725918814049e-16,1.046563086718662e-16
0.038,1.4635047222186556e-16,1.1100294953172938e-16
0.039,1.425611817210608e-16,1.2137695403918097e-16
0.04,1.408858026850487e-16,1.3094306889394528e-16
