array1,array2,array3
0.0,-1.5366550592119328e-14,1.3222074601389173e-14
0.0004,-2.4563855564452247e-14,2.3025466190543514e-14
0.0008,-4.4589903181750796e-14,4.633781290386327e-14
0.0012,-8.922016583357102e-14,8.95749659788451e-14
0.0016,-1.38348142625333e-13,1.0215923308854286e-13
0.002,-1.408148004282203e-13,7.363160152663907e-14
0.0024,-1.1867090093706334e-13,4.928411946776902e-14
0.0028,-9.156327908793147e-14,3.5019674775555176e-14
0.0032,-6.896898400369187e-14,2.517840066776956e-14
0.0036,-5.0471312502576355e-14,2.526520611821791e-14
0.004,-3.435397565865197e-14,2.4287217549618075e-14
0.0044,-2.163208093813976e-14,1.999582723350134e-14
0.0048,-1.261594220429606e-14,2.2159311937860973e-14
0.0052,-7.118806337346276e-15,2.1425917786370228e-14
0.0056,-5.0238260643588006e-15,2.063637279786703e-14
0.006,-4.19732690537138e-15,2.0879860664803445e-14
0.0064,-3.5042544781968632e-15,2.0867758186988705e-14
0.0068,-2.9171721265701784e-15,2.9052110073526436e-14
0.0072,-2.4426139364511256e-15,2.6496832853740196e-14
0.0076,-2.068096164406504e-15,1.3260651487482703e-14
0.008,-1.7623563853693914e-15,1.4597483340056587e-14
0.0084,-1.5170932326307476e-15,2.527171954835113e-14
0.0088,-1.313622688235253e-15,2.855819204326033e-14
0.0092,-1.1447339253302014e-15,2.2990101947616464e-14
0.0096,-9.969765873327135e-16,1.4698067562767656e-14
0.01,-8.750130122192013e-16,3.0588849730915144e-14
0.0104,-7.68348592390775e-16,3.069284699679998e-14
0.0108,-6.720490606560597e-16,1.4895693082785424e-14
0.0112,-5.896886690329619e-16,1.8615364994202464e-14
0.0116,-5.139823150913826e-16,8.748648873885936e-15
0.012,-4.448363265648515e-16,1.3001289374692294e-14
0.0124,-3.8383626475631837e-16,1.2088879648812788e-14
0.0128,-3.237043979701962e-16,6.2072846045228805e-15
0.0132,-2.6801494933362635e-16,1.9414837037584343e-14
0.0136,-2.1796944770135968e-16,1.833571971606031e-14
0.014,-1.631834464895509e-16,5.524058486527931e-15
0.0144,-1.1411733570811155e-16,9.905628514759984e-15
0.0148,-6.171898046979256e-17,9.334180824931145e-15
0.0152,-9.031996127548733e-18,9.698803574576434e-15
0.0156,4.643664684644591e-17,2.8838492411279333e-15
0.016,1.062101148303988e-16,1.6257793307583122e-15
0.0164,1.7194355518818414e-16,1.5322351737820618e-15
0.0168,2.462788447034411e-16,1.3325127196921602e-15
0.0172,3.3287167341422586e-16,2.589831005918439e-15
0.0176,4.369464118888629e-16,8.8082624831912e-15
0.018,5.662783261906932e-16,1.9682151897777585e-14
0.0184,7.333949126903122e-16,3.5746300349645995e-14
0.0188,9.648993665437506e-16,7.704544291634264e-14
0.0192,1.3034379403077077e-15,9.318693817269275e-14
0.0196,1.8577547807553665e-15,7.318931969771762e-14
0.02,2.8487907692057994e-15,9.092497007058854e-14
0.0204,5.081214672879485e-15,1.1017991600407216e-13
0.0208,7.562178890002847e-15,9.825763001130953e-14
