array1,array2,array3
0.0,0.0,0.0
0.00025,1.397008037823027e-16,1.984195557770899e-17
0.0005,2.414214674646067e-16,1.714904610806869e-17
0.00075,2.9211358262666653e-16,1.0015255099773266e-17
0.001,2.9669413659573874e-16,5.643035072740878e-18
0.00125,2.641102593352786e-16,3.3331860958687948e-18
0.0015,2.0661884590494578e-16,2.0842929556624716e-18
0.00175,1.4246456393553231e-16,1.3676439415179578e-18
0.002,9.110542273260434e-17,9.346711333688884e-19
0.00225,5.873508015155062e-17,6.594812242717625e-19
0.0025,3.9748339004600576e-17,4.765952397210753e-19
0.00275,2.82947454087385e-17,3.5061908536147255e-19
0.003,2.1029284679598694e-17,2.7027264622711254e-19
0.00325,1.6200797911408466e-17,2.187989413523313e-19
0.0035,1.2865854650092968e-17,1.8881094039124488e-19
0.00375,1.0489729531773816e-17,1.7054267300787063e-19
0.004,8.753916100331012e-18,1.5752546224948615e-19
0.00425,7.460218034409262e-18,1.4857660227556843e-19
0.0045,6.480587251902712e-18,1.4258451231785804e-19
0.00475,5.729594998767232e-18,1.3871055587072414e-19
0.005,5.148649695039408e-18,1.3695172100399254e-19
0.00525,4.696593184320469e-18,1.3815306621154656e-19
0.0055,4.343904391059858e-18,1.4008756214681797e-19
0.00575,4.0690184417655414e-18,1.4298758380299616e-19
0.006,3.855926824268679e-18,1.4665228414347326e-19
0.00625,3.692575745599329e-18,1.506349585348221e-19
0.0065,3.569774662331096e-18,1.5487911092117752e-19
0.00675,3.4804384192175195e-18,1.5934231801633776e-19
0.007,3.4190520728099126e-18,1.640242037757699e-19
0.00725,3.381287154212881e-18,1.6896556727985386e-19
0.0075,3.363722681863339e-18,1.740596842187361e-19
0.00775,3.3636397635209717e-18,1.7929531766618452e-19
0.008,3.378868640285595e-18,1.8462933635161149e-19
0.00825,3.4076735999314795e-18,1.9005058659664826e-19
0.0085,3.4486655752740254e-18,1.9556569115694354e-19
0.00875,3.5007352175951405e-18,2.0114865418439886e-19
0.009,3.563001279782032e-18,2.0679463634719699e-19
0.00925,3.634770568047268e-18,2.1249970221739451e-19
0.0095,3.71550672550676e-18,2.182606753888837e-19
0.00975,3.804805827569945e-18,2.240749696911162e-19
0.01,3.9023772862089575e-18,2.299405281009225e-19
0.01025,4.00802893734832e-18,2.3585573027956448e-19
0.0105,4.1216554636828326e-18,2.418193168047475e-19
0.01075,4.243229512475977e-18,2.4783033395032303e-19
0.011,4.372795024142632e-18,2.5388809798386986e-19
0.01125,4.510462406734365e-18,2.5999215145903158e-19
0.0115,4.6564052839107424e-18,2.661422289966481e-19
0.01175,4.810858616928819e-18,2.7233823827180847e-19
0.012,4.974118060031086e-18,2.7858023591980386e-19
0.01225,5.146540457434818e-18,2.848684097362414e-19
0.0125,5.328545432072266e-18,2.912030638272414e-19
0.01275,5.520618053817062e-18,2.9758460622174937e-19
0.013,5.723312610266016e-18,3.0401353855373174e-19
0.01325,5.937257538099193e-18,3.104904474994071e-19
0.0135,6.163161609396037e-18,3.1701599771802735e-19
