array1,array2,array3
0.0,-1.5979304146157897e-15,6.874155539678504e-16
0.0004,-1.732379407216637e-15,7.550323372056298e-16
0.0008,-1.885438318627401e-15,8.337201058451806e-16
0.0012,-2.0608600668579663e-15,9.26089512834569e-16
0.0016,-2.263427970212696e-15,1.0355978135359595e-15
0.002,-2.4993249093662572e-15,1.1668496254265784e-15
0.0024,-2.7766703128357914e-15,1.3261256489457155e-15
0.0028,-3.1063199754651143e-15,1.5221913378905281e-15
0.0032,-3.5030898752865564e-15,1.7675678114474947e-15
0.0036,-3.987687527889533e-15,2.080658009779281e-15
0.004,-4.589871070889667e-15,2.4894164674123863e-15
0.0044,-5.3538380610035445e-15,3.0380012551896597e-15
0.0048,-6.34788747985731e-15,3.799540491483318e-15
0.0052,-7.68281504291337e-15,4.902307190658013e-15
0.0056,-9.549601027392693e-15,6.588262974837586e-15
0.006,-1.2303959948064578e-14,9.357319023934851e-15
0.0064,-1.6678526458954925e-14,1.4362952956038268e-14
0.0068,-2.438860455729369e-14,2.4657821863980453e-14
0.0072,-3.998606126894487e-14,4.904468126911356e-14
0.0076,-7.307803414175567e-14,9.864678564544783e-14
0.008,-1.1497892794010576e-13,1.2428094162998945e-13
0.0084,-1.4202790326698583e-13,1.1578021736729429e-13
0.0088,-1.5425991306723135e-13,9.60664358188225e-14
0.0092,-1.5626305642885754e-13,1.009304104845134e-13
0.0096,-1.5173463006693348e-13,1.0813503171790145e-13
0.01,-1.3866351427334293e-13,1.243937216429386e-13
0.0104,-1.2981585715263373e-13,1.2506170692670874e-13
0.0108,-1.207273933179519e-13,1.1351102282251235e-13
0.0112,-1.1477847181093275e-13,1.3478546434510512e-13
0.0116,-1.024582461478815e-13,1.5129170288696093e-13
0.012,-9.514353474210096e-14,1.539755428550782e-13
0.0124,-9.10403623484067e-14,1.5789935782795243e-13
0.0128,-8.662963336281839e-14,1.3659311618082605e-13
0.0132,-8.446433785443338e-14,1.545692673800438e-13
0.0136,-8.177997281636823e-14,1.5865648314838144e-13
0.014,-7.621381359233543e-14,1.1324076142707474e-13
0.0144,-7.771350626375648e-14,1.7663349826792876e-13
0.0148,-7.014068831556344e-14,1.4411147803308054e-13
0.0152,-6.977477096522277e-14,1.735167276118623e-13
0.0156,-6.74862149430721e-14,1.8211953639748234e-13
0.016,-6.447247625940103e-14,1.4766201359549533e-13
0.0164,-6.166733168234822e-14,1.3196458854449354e-13
0.0168,-5.958577312211804e-14,1.2668106409858371e-13
0.0172,-5.784171961377137e-14,1.3883127681759228e-13
0.0176,-6.12654517222231e-14,1.1420220742264933e-13
0.018,-5.93367215418025e-14,1.2262701850479732e-13
0.0184,-5.525430871940302e-14,1.2179939649494063e-13
0.0188,-5.184736382262477e-14,1.612905941540429e-13
0.0192,-4.8466394359585696e-14,1.7049761678840307e-13
0.0196,-4.0551423739152076e-14,1.998897445061816e-13
0.02,-3.67194710458183e-14,1.6584370799253078e-13
0.0204,-3.089008745260748e-14,2.0742018213446955e-13
0.0208,-2.7715581503228506e-14,1.8877005037507674e-13
0.0212,-2.207160499353248e-14,2.0809506631266797e-13
0.0216,-1.9200618321219792e-14,1.3500522257916523e-13
0.022,-1.5272968938650612e-14,1.9699307863986176e-13
0.0224,-1.235134985204665e-14,1.5296410969196952e-13
0.0228,-1.006196797944651e-14,1.4963471816233378e-13
0.0232,-7.227684146189903e-15,1.7597419683110094e-13
0.0236,-2.9229923351335934e-15,1.8684725449668862e-13
0.024,-8.741660111611543e-16,1.3943096042338589e-13
0.0244,-4.274180319069824e-16,1.6242945157070994e-13
0.0248,3.727460822699379e-15,1.1960264735897579e-13
0.0252,4.139322070066712e-15,1.5680538268123875e-13
0.0256,5.133895700551618e-15,1.5241911674737806e-13
0.026,4.434627840354741e-15,1.4767791317959859e-13
0.0264,4.6683215542997485e-15,1.728839177699879e-13
0.0268,5.293226507951658e-15,1.4000169578337643e-13
0.0272,5.510151495447831e-15,1.3703112263414255e-13
0.0276,4.0065301483305794e-15,1.3349404818736347e-13
0.028,5.946045963529937e-15,1.5613822958280462e-13
0.0284,5.426452601767022e-15,1.3533395716512018e-13
0.0288,4.071470055819341e-15,1.3527186104038864e-13
0.0292,5.566598185685181e-15,1.6354441864010916e-13
0.0296,8.244385513363079e-15,1.5954217685195721e-13
0.03,6.703835319543939e-15,1.8994673043068106e-13
0.0304,8.157746078225257e-15,1.4719966595176974e-13
0.0308,5.745047340113362e-15,1.9664653884297475e-13
0.0312,7.441378905803661e-15,1.608379800165793e-13
0.0316,7.865040482883443e-15,1.7870887409712288e-13
0.032,7.597072912014999e-15,1.9304883127647604e-13
0.0324,6.7831207211761225e-15,2.015229465210447e-13
0.0328,7.034674235652252e-15,2.0974877168310734e-13
0.0332,7.98080211841805e-15,2.2350700401484826e-13
0.0336,8.497795863251062e-15,1.7441852093872533e-13
0.034,6.708888713295038e-15,1.9932890169390665e-13
0.0344,5.9160859624966684e-15,1.6768364065107727e-13
0.0348,9.749020551650091e-15,1.9397203394548048e-13
0.0352,5.3388320303208176e-15,1.8972123668651112e-13
0.0356,8.973759598466191e-15,2.2680721083354431e-13
0.036,6.244383026378959e-15,1.6911631481648465e-13
0.0364,4.344759564310234e-15,2.31774357306137e-13
0.0368,7.16454790434172e-15,1.734273870903974e-13
0.0372,6.253097030658515e-15,1.9092711252413488e-13
0.0376,5.610632179529029e-15,2.034574697233507e-13
0.038,6.762132369107913e-15,2.286155908438337e-13
0.0384,4.3040223266047005e-15,2.1044726783020946e-13
0.0388,7.955141507258308e-15,2.4383345544756585e-13
0.0392,1.0103207704702506e-14,2.0914745171986153e-13
0.0396,7.749255442310287e-15,2.0691680585878302e-13
0.04,3.4487669830540714e-15,2.262204989688997e-13
