array1,array2,array3
0.0,-3.811154877226322e-15,1.7567325078630533e-16
0.0004,-4.2740105117635815e-15,1.997631790803772e-16
0.0008,-4.834103308304496e-15,2.2990412762730617e-16
0.0012,-5.522387634035496e-15,2.683316045422547e-16
0.0016,-6.383734333879187e-15,3.184163962152508e-16
0.002,-7.485418531040895e-15,3.869090117944151e-16
0.0024,-8.932471115909204e-15,4.829087687931796e-16
0.0028,-1.0897165580515098e-14,6.25849152676351e-16
0.0032,-1.3679958405167991e-14,8.517128839984136e-16
0.0036,-1.7847324893160872e-14,1.2438379430668905e-15
0.004,-2.4580105316308044e-14,2.0158702107081097e-15
0.0044,-3.667308404372531e-14,3.826461043340268e-15
0.0048,-6.160416100788761e-14,8.330751872523086e-15
0.0052,-1.1574378298743455e-13,2.0399901511608248e-14
0.0056,-1.8708545013781275e-13,4.056279474892344e-14
0.006,-2.1713590312978333e-13,9.51649809996083e-14
0.0064,-2.1122996788140872e-13,1.2224778047212344e-13
0.0068,-1.985982414980363e-13,1.1063331148537313e-13
0.0072,-1.8132243119905955e-13,1.3145185183774962e-13
0.0076,-1.66684266669977e-13,9.160675004589962e-14
0.008,-1.5369398933627374e-13,1.2392576602598758e-13
0.0084,-1.4239516646235534e-13,1.3883658795271777e-13
0.0088,-1.31756272883644e-13,1.2084514454304826e-13
0.0092,-1.233740166863012e-13,1.4931208992578143e-13
0.0096,-1.1681972670801181e-13,1.470319250227524e-13
0.01,-1.0828511118837279e-13,1.2879977185320087e-13
0.0104,-1.0235617491162752e-13,1.3074943181186695e-13
0.0108,-9.733713832856595e-14,1.3417965738536314e-13
0.0112,-9.475449399619134e-14,1.5645075994336884e-13
0.0116,-8.770738891705796e-14,1.6880606874016442e-13
0.012,-8.303461410701265e-14,1.7850499711808235e-13
0.0124,-8.294769655873339e-14,1.7480683867978746e-13
0.0128,-7.78476948115975e-14,1.3595303930442665e-13
0.0132,-7.598904671595833e-14,1.923057781069741e-13
0.0136,-7.284924425145923e-14,1.7424341028169236e-13
0.014,-6.934050911445232e-14,1.0439918848224584e-13
0.0144,-6.811984780847132e-14,1.752912127323187e-13
0.0148,-6.529712214051724e-14,1.4092481770614017e-13
0.0152,-6.44212864239512e-14,1.8741729463039934e-13
0.0156,-6.473247167979372e-14,2.0891700824320013e-13
0.016,-6.252769135193422e-14,1.6113733085937292e-13
0.0164,-5.767038937473558e-14,1.5237224375797544e-13
0.0168,-5.825703554261065e-14,1.394401512460848e-13
0.0172,-5.821901718222976e-14,1.348806441618789e-13
0.0176,-6.364284278133168e-14,1.1901939562595555e-13
0.018,-6.103743307139533e-14,1.2437213724848863e-13
0.0184,-5.874158148445415e-14,1.3042203855290793e-13
0.0188,-5.931541383335498e-14,1.616178006167723e-13
0.0192,-6.210421709049584e-14,1.8825626783400275e-13
0.0196,-6.043331436152906e-14,2.1230302748065023e-13
0.02,-5.983388060643854e-14,1.5223257771307327e-13
0.0204,-5.426410428689112e-14,1.6111297768431515e-13
0.0208,-5.3432235676086664e-14,1.5592699483437767e-13
0.0212,-4.90629462700438e-14,1.991684896760045e-13
