array1,array2,array3
0.0,-2.1492727593536938e-16,6.874155539678504e-16
0.0004,-2.410649416257123e-16,7.550323372056298e-16
0.0008,-2.725309926873452e-16,8.337201058451806e-16
0.0012,-3.1095869522233026e-16,9.26089512834569e-16
0.0016,-3.5870392639574055e-16,1.0355978135359595e-15
0.002,-4.1929956609079614e-16,1.1668496254265784e-15
0.0024,-4.983139035860011e-16,1.3261256489457155e-15
0.0028,-6.051197448302629e-16,1.5221913378905281e-15
0.0032,-7.569697386858821e-16,1.7675678114474947e-15
0.0036,-9.89743412678409e-16,2.080658009779281e-15
0.004,-1.3893545226080808e-15,2.4894164674123863e-15
0.0044,-2.1435773636204524e-15,3.0380012551896597e-15
0.0048,-3.218338954626538e-15,3.799540491483318e-15
0.0052,-4.402354018447835e-15,4.902307190658013e-15
0.0056,-6.166306779839072e-15,6.588262974837586e-15
0.006,-8.265386384379361e-15,9.357319023934851e-15
0.0064,-1.0796148625451423e-14,1.4362952956038268e-14
0.0068,-1.3275415754438551e-14,2.4657821863980453e-14
0.0072,-1.555901771349509e-14,4.904468126911356e-14
0.0076,-1.727466583423699e-14,9.864678564544783e-14
0.008,-1.8623512040097477e-14,1.2428094162998945e-13
0.0084,-1.850044680593275e-14,1.1578021736729429e-13
0.0088,-1.8778367670173895e-14,9.60664358188225e-14
0.0092,-1.6514308975550494e-14,1.009304104845134e-13
0.0096,-1.3823092310901098e-14,1.0813503171790145e-13
0.01,-9.305838786292748e-15,1.243937216429386e-13
0.0104,-5.1115135597252755e-15,1.2506170692670874e-13
0.0108,-2.8389072128686204e-15,1.1351102282251235e-13
0.0112,-1.8623888507774994e-15,1.3478546434510512e-13
0.0116,-1.3306630650560887e-15,1.5129170288696093e-13
0.012,-1.2034763095928897e-15,1.539755428550782e-13
0.0124,-1.6825733588190023e-15,1.5789935782795243e-13
0.0128,-2.3931671989881355e-15,1.3659311618082605e-13
0.0132,1.01782496259912e-15,1.545692673800438e-13
0.0136,4.695402933203937e-15,1.5865648314838144e-13
0.014,6.83411551482889e-15,1.1324076142707474e-13
0.0144,6.845867910343575e-15,1.7663349826792876e-13
0.0148,6.2761229024054745e-15,1.4411147803308054e-13
0.0152,9.205297071041685e-15,1.735167276118623e-13
0.0156,1.1272418410842826e-14,1.8211953639748234e-13
0.016,1.107375901257542e-14,1.4766201359549533e-13
0.0164,1.040648473006435e-14,1.3196458854449354e-13
0.0168,9.631969510120479e-15,1.2668106409858371e-13
0.0172,6.163657599818399e-15,1.3883127681759228e-13
0.0176,5.193062693998643e-15,1.1420220742264933e-13
0.018,2.806081776343581e-16,1.2262701850479732e-13
0.0184,-2.550682226372446e-15,1.2179939649494063e-13
0.0188,-4.177942852839818e-15,1.612905941540429e-13
0.0192,-3.1806389879196154e-15,1.7049761678840307e-13
0.0196,-5.631510868096612e-15,1.998897445061816e-13
0.02,-2.048559875469417e-15,1.6584370799253078e-13
0.0204,-1.2348989277132453e-15,2.0742018213446955e-13
0.0208,4.2560513558320155e-15,1.8877005037507674e-13
0.0212,3.828701260854871e-15,2.0809506631266797e-13
0.0216,6.5654582810749424e-15,1.3500522257916523e-13
0.022,3.919159259466302e-15,1.9699307863986176e-13
0.0224,2.513731349858548e-15,1.5296410969196952e-13
0.0228,4.1253777121814264e-15,1.4963471816233378e-13
0.0232,2.7612176739729117e-15,1.7597419683110094e-13
0.0236,-3.6002434815477945e-17,1.8684725449668862e-13
0.024,6.101293550218104e-16,1.3943096042338589e-13
0.0244,-9.442697077030795e-16,1.6242945157070994e-13
0.0248,-1.4452892727169012e-15,1.1960264735897579e-13
0.0252,-1.4264121774117681e-15,1.5680538268123875e-13
0.0256,-2.3752258816604446e-15,1.5241911674737806e-13
0.026,-2.942466783371992e-15,1.4767791317959859e-13
0.0264,-4.661765286748752e-15,1.728839177699879e-13
0.0268,-3.2053840423509906e-15,1.4000169578337643e-13
0.0272,-4.090263461523173e-15,1.3703112263414255e-13
0.0276,-5.0413192672504314e-15,1.3349404818736347e-13
0.028,-4.4938849025517215e-15,1.5613822958280462e-13
0.0284,-4.560969933150071e-15,1.3533395716512018e-13
0.0288,-6.411029156232273e-15,1.3527186104038864e-13
0.0292,-3.210620837865852e-15,1.6354441864010916e-13
0.0296,-6.578250015000816e-15,1.5954217685195721e-13
0.03,-6.371069098568536e-15,1.8994673043068106e-13
0.0304,-8.258084679069454e-15,1.4719966595176974e-13
0.0308,-4.387781458109926e-15,1.9664653884297475e-13
0.0312,-7.275846781301874e-15,1.608379800165793e-13
0.0316,-7.482187945420464e-15,1.7870887409712288e-13
0.032,-7.06288261558351e-15,1.9304883127647604e-13
0.0324,-9.229180868913421e-15,2.015229465210447e-13
0.0328,-7.839691887756104e-15,2.0974877168310734e-13
0.0332,-5.935217234920965e-15,2.2350700401484826e-13
0.0336,-9.766951193695352e-15,1.7441852093872533e-13
0.034,-7.663602082961512e-15,1.9932890169390665e-13
0.0344,-7.535894675165049e-15,1.6768364065107727e-13
0.0348,-1.249286935103896e-14,1.9397203394548048e-13
