array1,array2,array3
0.0,-1.496989300312908e-14,1.3556230361654927e-15
0.0001,-1.666110997538859e-14,1.5296035418782145e-15
0.0002,-1.8655708639665128e-14,1.739757484080363e-15
0.0003,-2.102865760694686e-14,1.9960877245554667e-15
0.0004,-2.3877746148644777e-14,2.3118311917389122e-15
0.0005,-2.733092887857777e-14,2.7043366596313155e-15
0.0006,-3.155509511280613e-14,3.1957894216282487e-15
0.0007,-3.676464317467611e-14,3.81315641198914e-15
0.0008,-4.322463984940212e-14,4.5853350687641095e-15
0.0009,-5.1235449297585726e-14,5.533684877280863e-15
0.001,-6.107238946796936e-14,6.649368478550323e-15
0.0011,-7.284415154553351e-14,7.861503641001893e-15
0.0012,-8.626525219927749e-14,9.005975972087586e-15
0.0013,-1.0046145365064165e-13,9.852079669323075e-15
0.0014,-1.1405603681270955e-13,1.022360747115324e-14
0.0015,-1.2562478429660675e-13,1.0040869823566985e-14
0.0016,-1.3420320516378782e-13,9.529845084004305e-15
0.0017,-1.3947814737029867e-13,8.823641985978945e-15
0.0018,-1.4165673217713717e-13,8.019696241967327e-15
0.0019,-1.4122556169085998e-13,7.26247395590947e-15
0.002,-1.3875211024750444e-13,6.507470248180183e-15
0.0021,-1.3476916266971406e-13,6.023007785169765e-15
0.0022,-1.2972817083769213e-13,5.53696375829738e-15
0.0023,-1.2399001906177062e-13,5.1255237895078145e-15
0.0024,-1.178317481591438e-13,4.8848217503547855e-15
0.0025,-1.1146038122257641e-13,4.510503535445517e-15
0.0026,-1.0502872128046873e-13,4.276827669677926e-15
0.0027,-9.864592496282011e-14,4.1273319463683065e-15
0.0028,-9.238607593542081e-14,3.949036729586408e-15
0.0029,-8.629843437286547e-14,3.768103551938299e-15
0.003,-8.041492484391949e-14,3.6297281720521154e-15
0.0031,-7.475500306966553e-14,3.4102166776082982e-15
0.0032,-6.932824398025144e-14,3.3514546823504884e-15
0.0033,-6.413726450378354e-14,3.1630227665362046e-15
0.0034,-5.917972968647674e-14,2.991815642878357e-15
0.0035,-5.445129768422607e-14,3.03939338402399e-15
0.0036,-4.994906313351463e-14,2.8311782721331685e-15
0.0037,-4.567080000026793e-14,2.7831708951957732e-15
0.0038,-4.161273232376474e-14,2.6963871944748913e-15
0.0039,-3.77700694383192e-14,2.5783643467113887e-15
0.004,-3.4140885237476054e-14,2.5651516925660868e-15
0.0041,-3.072527916564696e-14,2.5052526701890376e-15
0.0042,-2.752284775800044e-14,2.3068427670232998e-15
0.0043,-2.453340743410721e-14,2.2845030176292677e-15
0.0044,-2.1756983162933257e-14,2.280191980428563e-15
0.0045,-1.919435637493287e-14,2.1746729809207984e-15
0.0046,-1.6848061251804588e-14,2.2064741221463542e-15
0.0047,-1.472131831832762e-14,2.1362028671728165e-15
0.0048,-1.28159593203028e-14,2.126151280338094e-15
0.0049,-1.1132428862412703e-14,2.3093125800505324e-15
0.005,-9.671300550243845e-15,2.23864205004542e-15
