array1,array2,array3
0.0,-1.4894500259023277e-14,1.3556230361654927e-15
0.0001,-1.65748658372647e-14,1.5296035418782145e-15
0.0002,-1.855624711418477e-14,1.739757484080363e-15
0.0003,-2.0912941009021205e-14,1.9960877245554667e-15
0.0004,-2.3741848425829736e-14,2.3118311917389122e-15
0.0005,-2.716976023742569e-14,2.7043366596313155e-15
0.0006,-3.136208212829406e-14,3.1957894216282487e-15
0.0007,-3.653143805136374e-14,3.81315641198914e-15
0.0008,-4.294107854278048e-14,4.5853350687641095e-15
0.0009,-5.089027485993688e-14,5.533684877280863e-15
0.001,-6.065567239832413e-14,6.649368478550323e-15
0.0011,-7.235234438950648e-14,7.861503641001893e-15
0.0012,-8.570796912960601e-14,9.005975972087586e-15
0.0013,-9.986491740100821e-14,9.852079669323075e-15
0.0014,-1.1345724237379213e-13,1.022360747115324e-14
0.0015,-1.250587984472441e-13,1.0040869823566985e-14
0.0016,-1.3369353697929357e-13,9.529845084004305e-15
0.0017,-1.3903529208802435e-13,8.823641985978945e-15
0.0018,-1.4128164385287654e-13,8.019696241967327e-15
0.0019,-1.4091353199696492e-13,7.26247395590947e-15
0.002,-1.384957076425988e-13,6.507470248180183e-15
0.0021,-1.3456043578167416e-13,6.023007785169765e-15
0.0022,-1.2955996692319294e-13,5.53696375829738e-15
0.0023,-1.238562187200546e-13,5.1255237895078145e-15
0.0024,-1.177267822518199e-13,4.8848217503547855e-15
0.0025,-1.1137878770747362e-13,4.510503535445517e-15
0.0026,-1.0496524610158383e-13,4.276827669677926e-15
0.0027,-9.859607070114975e-14,4.1273319463683065e-15
0.0028,-9.234671672750128e-14,3.949036729586408e-15
0.0029,-8.626795993388755e-14,3.768103551938299e-15
0.003,-8.03928263393306e-14,3.6297281720521154e-15
0.0031,-7.474134365291458e-14,3.4102166776082982e-15
0.0032,-6.93232957768886e-14,3.3514546823504884e-15
0.0033,-6.414109475995175e-14,3.1630227665362046e-15
0.0034,-5.919160315785058e-14,2.991815642878357e-15
0.0035,-5.446938399547373e-14,3.03939338402399e-15
0.0036,-4.997090629474678e-14,2.8311782721331685e-15
0.0037,-4.5694233066287566e-14,2.7831708951957732e-15
0.0038,-4.1636382607123484e-14,2.6963871944748913e-15
0.0039,-3.779315016613467e-14,2.5783643467113887e-15
0.004,-3.4162683460395266e-14,2.5651516925660868e-15
0.0041,-3.074479132771194e-14,2.5052526701890376e-15
0.0042,-2.7538829702111353e-14,2.3068427670232998e-15
0.0043,-2.4544827829234697e-14,2.2845030176292677e-15
0.0044,-2.176350597293666e-14,2.280191980428563e-15
0.0045,-1.91964665878849e-14,2.1746729809207984e-15
0.0046,-1.6846749430372313e-14,2.2064741221463542e-15
0.0047,-1.4717586633714563e-14,2.1362028671728165e-15
0.0048,-1.2810484882015629e-14,2.126151280338094e-15
0.0049,-1.1125495987052414e-14,2.3093125800505324e-15
0.005,-9.662980113745117e-15,2.23864205004542e-15
