array1,array2,array3
0.0,0.0,0.0
0.00025,7.237272322769334e-21,7.8571369438394e-22
0.0005,1.4489197390127167e-20,1.5714392280267293e-21
0.00075,2.177046496295804e-20,2.357188432905326e-21
0.001,2.909583900869069e-20,3.1429731265700622e-21
0.00125,3.64801952408103e-20,3.9288051052752034e-21
0.0015,4.393855918566898e-20,4.714696137526752e-21
0.00175,5.148614495876814e-20,5.500657958196245e-21
0.002,5.9138394938264e-20,6.286702263354117e-21
0.00225,6.691102053056179e-20,7.072840705987786e-21
0.0025,7.482004423156576e-20,7.859084892780585e-21
0.00275,8.288184319758058e-20,8.645446382140193e-21
0.003,9.111319455211298e-20,9.431936683685088e-21
0.00325,9.953132266907563e-20,1.0218567259410783e-20
0.0035,1.0815394868930633e-19,1.1005349526787406e-20
0.00375,1.1699934254611219e-19,1.1792294864059843e-20
0.004,1.260863777969587e-19,1.25794146180534e-20
0.00425,1.3543458958273233e-19,1.3366720114822032e-20
0.0045,1.4506423606354127e-19,1.4154222673513434e-20
0.00475,1.5499636371115367e-19,1.494193362386995e-20
0.005,1.6525287687331988e-19,1.5729864327834964e-20
0.00525,1.75856612064932e-19,1.6518026205788026e-20
0.0055,1.8683141748573405e-19,1.7306430768001927e-20
0.00575,1.9820223831485536e-19,1.80950896519826e-20
0.006,2.0999520838948843e-19,1.8884014666439902e-20
0.00625,2.222377489395096e-19,1.9673217842737848e-20
0.0065,2.3495867512270836e-19,2.046271149476744e-20
0.00675,2.4818831118779053e-19,2.125252088810015e-20
0.007,2.6195861518576627e-19,2.2042651524696533e-20
0.00725,2.7630331425636746e-19,2.2833115509284925e-20
0.0075,2.912580516365691e-19,2.3623925924009912e-20
0.00775,3.068605466753278e-19,2.441509789387562e-20
0.008,3.2315076929479e-19,2.5206647439885702e-20
0.00825,3.4017113051647476e-19,2.5998591638205132e-20
0.0085,3.579666908747014e-19,2.6790948801832034e-20
0.00875,3.765853887730559e-19,2.758373868780057e-20
0.009,3.9607829110763805e-19,2.837698496045769e-20
0.00925,4.1649986878908347e-19,2.9170710739159115e-20
0.0095,4.379083001506118e-19,2.9964940150364476e-20
0.00975,4.603658056396881e-19,3.07597014722937e-20
0.01,4.839390176660238e-19,3.155502598958448e-20
0.01025,5.086993900299297e-19,3.235094844785018e-20
0.0105,5.34723651996487e-19,3.314750772400334e-20
0.01075,5.620943128290213e-19,3.394474709495565e-20
0.011,5.909002234701796e-19,3.474271844608917e-20
0.01125,6.212372030846837e-19,3.554147911722246e-20
