array1,array2,array3
0.0,-5.857357003808167e-17,4.856118815981109e-17
0.00025,-5.889787566824412e-17,4.8680637421380235e-17
0.0005,-5.988338176903235e-17,4.904349344778263e-17
0.00075,-6.156889012338003e-17,4.9663669545635545e-17
0.001,-6.402266656878175e-17,5.0674553106587265e-17
0.00125,-6.734839053283379e-17,5.20452978720863e-17
0.0015,-7.169472703948605e-17,5.38360426755558e-17
0.00175,-7.727011782974725e-17,5.613314314928192e-17
0.002,-8.436548893106461e-17,5.905826793262093e-17
0.00225,-9.338947219468884e-17,6.278435228376839e-17
0.0025,-1.049241636564991e-16,6.756142031798113e-17
0.00275,-1.1981587633267457e-16,7.375973259780637e-17
0.003,-1.393279611187961e-16,8.201702414437656e-17
0.00325,-1.6540864775799248e-16,9.322149445430947e-17
0.0035,-2.011824436681808e-16,1.0884658466849205e-16
0.00375,-2.518979304116425e-16,1.3151826837325917e-16
0.004,-3.2684592597554974e-16,1.6608594276426374e-16
0.00425,-4.4332942191197904e-16,2.2196264553641085e-16
0.0045,-6.340604226194317e-16,3.163812212074167e-16
0.00475,-9.515671199767047e-16,4.670390486677128e-16
0.005,-1.421675003900949e-15,6.35799254804275e-16
0.00525,-1.9443501948282497e-15,7.194064668419005e-16
0.0055,-2.3702606563160127e-15,7.61701702556407e-16
0.00575,-2.602005712691734e-15,8.349443895960542e-16
0.006,-2.594419955372963e-15,8.982349395562262e-16
0.00625,-2.3399805010290577e-15,9.51375519348036e-16
0.0065,-1.8621013097472807e-15,9.349916378085436e-16
0.00675,-1.2901032965697691e-15,7.641580798826034e-16
0.007,-8.398287104644293e-16,5.904957150154568e-16
0.00725,-5.622288713418751e-16,4.8841995671063e-16
0.0075,-3.9683398938402413e-16,3.30794961660317e-16
0.00775,-2.9365732268855655e-16,2.0335413327950522e-16
0.008,-2.2558298136279904e-16,1.730982810228097e-16
0.00825,-1.783724195362415e-16,1.241459344606969e-16
0.0085,-1.4425696346278968e-16,1.0297915274733664e-16
0.00875,-1.1874978457590438e-16,8.96064083281916e-17
0.009,-9.912160810942892e-17,7.99681193977762e-17
0.00925,-8.363368238729325e-17,7.331372601643291e-17
0.0095,-7.113894007668163e-17,6.856639243517912e-17
0.00975,-6.086409383432576e-17,6.496171243851665e-17
0.01,-5.227226060332431e-17,6.217159802260448e-17
0.01025,-4.497802078878386e-17,6.000602709200447e-17
0.0105,-3.869792188416674e-17,5.834479863725235e-17
0.01075,-3.3219539996745915e-17,5.712561979434623e-17
0.011,-2.838099628819868e-17,5.622050061442256e-17
0.01125,-2.4057013230445446e-17,5.557668205700576e-17
0.0115,-2.014923397377733e-17,5.5154110098760917e-17
0.01175,-1.6579382541349146e-17,5.492215738251428e-17
0.012,-1.3284351721167539e-17,5.4857224532237074e-17
0.01225,-1.021262118505798e-17,5.494106825712233e-17
0.0125,-7.321608048861874e-18,5.515960396720912e-17
0.01275,-4.575680603291677e-18,5.5502026820602544e-17
0.013,-1.944650041204405e-18,5.596015808716401e-17
0.01325,5.97389074839706e-19,5.652796206075675e-17
0.0135,3.0729611094004625e-18,5.720117982044075e-17
0.01375,5.501920066685816e-18,5.797705940702846e-17
0.014,7.90201642831475e-18,5.88541521225439e-17
0.01425,1.0289355221507175e-17,5.983216245450501e-17
0.0145,1.2678771469536477e-17,6.091184054075686e-17
0.01475,1.5084142753745868e-17,6.209490513173566e-17
0.015,1.7518653971075688e-17,6.33840001306659e-17
0.01525,1.9995025989903133e-17,6.478267093140033e-17
0.0155,2.2525717437185718e-17,6.629536279231528e-17
0.01575,2.512310704661462e-17,6.792743846732064e-17
0.016,2.779966268976491e-17,6.968522164096837e-17
0.01625,3.0568102280420616e-17,7.157602894079775e-17
0.0165,3.344155110289452e-17,7.360829818053274e-17
0.01675,3.643369971090662e-17,7.579159034195432e-17
0.017,3.955896633646745e-17,7.813676413718663e-17
0.01725,4.283266771519997e-17,8.065614550201638e-17
0.0175,4.6271202364812035e-17,8.336375122541969e-17
0.01775,4.989225064682237e-17,8.627542169992977e-17
0.018,5.3714996408171106e-17,8.940856991204718e-17
0.01825,5.776037565958268e-17,9.278322172846085e-17
0.0185,6.205135863397365e-17,9.642204707178205e-17
0.01875,6.661327272757042e-17,1.0035076087797225e-16
0.019,7.147417532334036e-17,1.0459859782577513e-16
0.01925,7.666528741873443e-17,1.0919888240319419e-16
0.0195,8.222150144623662e-17,1.1418971481521374e-16
0.01975,8.818197984605446e-17,1.1961479968539025e-16
0.02,9.459086504260903e-17,1.255244524983714e-16
0.02025,1.0149812678620578e-16,1.3197683373885362e-16
0.0205,1.089605797546008e-16,1.3903945882819316e-16
0.02075,1.1704311342853036e-16,1.4679103541669835e-16
0.021,1.2582018834645459e-16,1.553238230718128e-16
0.02125,1.3537766901621494e-16,1.6474651457651058e-16
